date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:34	63765/63765	---M-Z	200	added ('OK')	application/x-javascript	etag:%220a63505c90b8d2f0c0918ef02a6b1ee3:1523284272%22	http://tags.tiqcdn.com/utag/cc/main/prod/utag.js	D:/DESKTOP/XOA%20SACH/article-copy/content1/tags.tiqcdn.com/utag/cc/main/prod/utag.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:35	98142/98142	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:32%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=85352	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/indexb551.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:36	8596/8596	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225abc2267-32a7%22	https://stats.wp.com/e-201815.js	D:/DESKTOP/XOA%20SACH/article-copy/content1/stats.wp.com/e-201815.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:37	98109/98109	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:34%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=85389	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index8f5f.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:39	98113/98113	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:36%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=85439	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index573c.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:39	98106/98106	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:36%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=86555	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/indexa479.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:41	98166/98166	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:38%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=87232	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index1012.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:42	98111/98111	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:38%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=87536	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index1b41.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:43	98110/98110	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:41%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=87242	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index6373.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:43	98157/98157	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:42%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=87840	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index6eb0.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:44	1849/1849	---M--	200	added ('OK')	image/gif	etag:%2258754f1b-739%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/img/ajax-loader.gif	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/img/ajax-loader.gif	(from https://blogs.constantcontact.com/wp-content/plugins/ctct-sf-events/assets/css/ctct-sf-events.min.css?ver=2.1.6)
21:31:45	98167/98167	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:42%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=88237	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index8f80.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:47	98116/98116	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:44%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=88238	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index47e8.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:48	98121/98121	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:45%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=88373	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index41c4.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:48	98196/98196	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:45%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=91659	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index2bc9.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
